Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MOGA","MOOG INC CLASS A","Industrials","Equity","321,345,671.92","0.39","321,345,671.92","734,152.00","437.71","United States","NYSE","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","287,155,157.54","0.35","287,155,157.54","1,914,623.00","149.98","United States","NASDAQ","USD","1.00","USD","-"
"GKOS","GLAUKOS","Health Care","Equity","271,557,718.25","0.33","271,557,718.25","1,474,655.00","184.15","United States","NYSE","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","261,963,385.95","0.32","261,963,385.95","1,111,663.00","235.65","United States","NYSE","USD","1.00","USD","-"
"CYTK","CYTOKINETICS","Health Care","Equity","257,182,309.10","0.31","257,182,309.10","3,379,531.00","76.10","United States","NASDAQ","USD","1.00","USD","-"
"FROG","JFROG LTD","Information Technology","Equity","256,282,052.40","0.31","256,282,052.40","2,797,839.00","91.60","United States","NASDAQ","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","249,227,709.50","0.30","249,227,709.50","4,188,701.00","59.50","United States","NASDAQ","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS","Health Care","Equity","247,713,106.54","0.30","247,713,106.54","1,574,381.00","157.34","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","247,422,391.34","0.30","247,422,391.34","3,252,562.00","76.07","United States","NASDAQ","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","242,454,011.34","0.30","242,454,011.34","9,094,299.00","26.66","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES","Health Care","Equity","239,026,482.48","0.29","239,026,482.48","646,297.00","369.84","United States","NASDAQ","USD","1.00","USD","-"
"CTRE","CARETRUST REIT","Real Estate","Equity","228,687,957.60","0.28","228,687,957.60","5,819,032.00","39.30","United States","NYSE","USD","1.00","USD","-"
"COMP","COMPASS INC CLASS A","Real Estate","Equity","226,799,884.50","0.28","226,799,884.50","18,439,015.00","12.30","United States","NYSE","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","226,099,433.78","0.28","226,099,433.78","1,062,797.00","212.74","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","224,648,933.12","0.27","224,648,933.12","669,056.00","335.77","United States","NASDAQ","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS","Health Care","Equity","224,419,637.04","0.27","224,419,637.04","2,648,957.00","84.72","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY","Health Care","Equity","224,161,862.25","0.27","224,161,862.25","2,180,775.00","102.79","United States","NASDAQ","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH","Health Care","Equity","222,078,138.84","0.27","222,078,138.84","667,262.00","332.82","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","221,918,118.24","0.27","221,918,118.24","6,252,976.00","35.49","United States","NYSE","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","216,070,345.80","0.26","216,070,345.80","1,713,620.00","126.09","United States","NYSE","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","214,098,508.98","0.26","214,098,508.98","2,650,062.00","80.79","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","212,099,285.68","0.26","212,099,285.68","4,286,566.00","49.48","United States","NASDAQ","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL CLASS A","Financials","Equity","211,180,240.92","0.26","211,180,240.92","1,565,922.00","134.86","United States","NYSE","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES","Industrials","Equity","207,430,567.68","0.25","207,430,567.68","676,816.00","306.48","United States","NYSE","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","206,226,640.62","0.25","206,226,640.62","2,905,419.00","70.98","United States","NYSE","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","205,475,592.96","0.25","205,475,592.96","1,905,728.00","107.82","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE","Health Care","Equity","202,512,197.82","0.25","202,512,197.82","3,387,058.00","59.79","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","196,521,282.32","0.24","196,521,282.32","3,678,796.00","53.42","United States","NYSE","USD","1.00","USD","-"
"AGX","ARGAN","Industrials","Equity","194,592,453.98","0.24","194,592,453.98","351,866.00","553.03","United States","NYSE","USD","1.00","USD","-"
"KYMR","KYMERA THERAPEUTICS","Health Care","Equity","194,341,153.86","0.24","194,341,153.86","1,601,097.00","121.38","United States","NASDAQ","USD","1.00","USD","-"
"OSCR","OSCAR HEALTH CLASS A","Financials","Equity","193,742,157.84","0.24","193,742,157.84","6,193,803.00","31.28","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","191,728,741.52","0.23","191,728,741.52","955,967.00","200.56","United States","NYSE","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE","Health Care","Equity","190,898,005.50","0.23","190,898,005.50","1,644,255.00","116.10","United States","NASDAQ","USD","1.00","USD","-"
"PBF","PBF ENERGY CLASS A","Energy","Equity","190,460,393.60","0.23","190,460,393.60","2,532,718.00","75.20","United States","NYSE","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","189,846,622.50","0.23","189,846,622.50","1,556,375.00","121.98","United States","NYSE","USD","1.00","USD","-"
"TEX","TEREX","Industrials","Equity","189,639,718.35","0.23","189,639,718.35","2,943,345.00","64.43","United States","NYSE","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","189,480,053.98","0.23","189,480,053.98","3,850,438.00","49.21","United States","NYSE","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","189,321,080.90","0.23","189,321,080.90","12,740,315.00","14.86","United States","NASDAQ","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT","Real Estate","Equity","188,503,917.00","0.23","188,503,917.00","2,751,882.00","68.50","United States","NYSE","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS","Health Care","Equity","187,047,163.66","0.23","187,047,163.66","3,721,591.00","50.26","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","186,548,476.00","0.23","186,548,476.00","2,809,465.00","66.40","United States","NASDAQ","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES","Information Technology","Equity","186,079,044.00","0.23","186,079,044.00","849,676.00","219.00","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","184,637,635.56","0.23","184,637,635.56","9,454,052.00","19.53","United States","NASDAQ","USD","1.00","USD","-"
"ACA","ARCOSA","Industrials","Equity","184,275,166.05","0.22","184,275,166.05","1,267,803.00","145.35","United States","NYSE","USD","1.00","USD","-"
"NPO","ENPRO","Industrials","Equity","181,750,813.59","0.22","181,750,813.59","551,713.00","329.43","United States","NYSE","USD","1.00","USD","-"
"SSRM","SSR MINING","Materials","Equity","179,975,749.40","0.22","179,975,749.40","5,679,260.00","31.69","Canada","NASDAQ","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","177,471,173.11","0.22","177,471,173.11","7,264,477.00","24.43","United States","NYSE","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","176,236,346.64","0.22","176,236,346.64","1,606,823.00","109.68","United States","NYSE","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","175,700,529.55","0.21","175,700,529.55","694,057.00","253.15","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS","Information Technology","Equity","175,009,943.94","0.21","175,009,943.94","931,003.00","187.98","United States","NASDAQ","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","174,827,360.40","0.21","174,827,360.40","5,676,213.00","30.80","United States","NYSE","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS","Utilities","Equity","174,673,892.43","0.21","174,673,892.43","1,904,633.00","91.71","United States","NYSE","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS","Information Technology","Equity","173,122,524.98","0.21","173,122,524.98","9,155,078.00","18.91","United States","NASDAQ","USD","1.00","USD","-"
